,business_status,name,place_id,rating,latitude,longitude,moving_company,aquarium,car_dealer,city_hall,cemetery,store,art_gallery,electrician,embassy,home_goods_store,university,real_estate_agency,supermarket,bar,local_government_office,transit_station,fire_station,secondary_school,primary_school,subway_station,car_repair,lawyer,car_rental,furniture_store,storage,roofing_contractor,travel_agency,painter,school,book_store,museum,restaurant,rv_park,veterinary_care,dentist,car_wash,taxi_stand,movie_theater,meal_takeaway,beauty_salon,bakery,library,campground,jewelry_store,electronics_store,liquor_store,bicycle_store,hardware_store,department_store,laundry,airport,pet_store,drugstore,meal_delivery,atm,stadium,pharmacy,plumber,movie_rental,police,parking,physiotherapist,courthouse,accounting,doctor,bowling_alley,park,church,zoo,amusement_park,night_club,hindu_temple,clothing_store,light_rail_station,hair_care,mosque,shoe_store,bus_station,shopping_mall,insurance_agency,bank,florist,spa,cafe,convenience_store,synagogue,casino,locksmith,tourist_attraction,train_station,funeral_home,lodging,gym,hospital,gas_station,post_office
0,OPERATIONAL,Debrezeit Road OFS1,ChIJ25FLCWuESxYRS1sLnzi5GFM,3.0,8.9772576,38.76009150000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,OPERATIONAL,Bus Station,ChIJ45GIM7-FSxYRNActs4FjI2s,1.5,9.012073899999999,38.7594091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,OPERATIONAL,Bus Station,ChIJ61u_OcSFSxYRPAi_3WoMgjM,4.5,9.011264399999998,38.7514623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,OPERATIONAL,Bus Station,ChIJ85-mAsKFSxYR3nARJs5PqwM,3.0,9.016739,38.7525055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,OPERATIONAL,Bus Station,ChIJ8YJENfSFSxYRZUg_WUL0rkk,,9.0335212,38.75351989999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,OPERATIONAL,Kazanches Bus Station,ChIJF7XSh5iFSxYRgLym8rqpH6g,4.7,9.0154939,38.770853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,OPERATIONAL,Bus Station,ChIJFyofh_aFSxYRE45TXLpFC88,4.5,9.0329353,38.75210680000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,OPERATIONAL,Bus Station,ChIJGXwANceFSxYRN9vVavICRzo,4.5,9.012141999999999,38.7562975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,OPERATIONAL,Bus Station,ChIJHfuUON2FSxYRodg_-MwN_L4,4.0,9.016822899999998,38.7464027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OPERATIONAL,Bus Station,ChIJO6nO47uFSxYRgIii143Gxmw,5.0,9.010634,38.76318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
