,business_status,name,latitude,longitude,rating,atms,banks,bus_stations,churches,gas_stations,hospitals,mosques,pharmacies,restaurants,schools,train_stations,Males,Females,Children,Working,Elderly
0,OPERATIONAL,"AllMart Plus, Ayat Neighborhood, Addis Ababa",9.0201708,38.8751083,-,1,9,0,7,3,3,0,2,28,4,0,145225,163770,75491,225517,7987
1,OPERATIONAL,Nahuta SuperMarket,9.0225018,38.785852500000004,5.0,8,36,0,15,1,18,4,9,105,28,0,161592,185072,83403,251219,12042
2,OPERATIONAL,Afran Mini Market,9.0573635,38.72434109999999,-,0,15,0,9,2,2,9,6,54,20,0,129396,138228,61641,195556,10427
3,OPERATIONAL,251 Store ET Gerji store,9.001776799999998,38.81045770000001,-,1,27,0,11,1,6,0,13,153,27,0,145225,163770,75491,225517,7987
4,OPERATIONAL,Selam Super Market,9.0111987,38.796550700000004,-,1,34,0,22,6,18,1,9,110,21,0,145225,163770,75491,225517,7987
5,OPERATIONAL,Jabir Sook (Kiosk),9.0335703,38.767087200000006,-,8,45,1,25,1,24,5,18,104,56,0,99165,112336,42050,160343,9108
6,OPERATIONAL,Jimale Firute,9.0257288,38.739567,-,5,38,0,8,7,8,19,21,144,19,0,124898,130474,54200,190442,10730
7,OPERATIONAL,Miracle Mini Market,8.9877065,38.77147539999999,-,2,39,0,8,0,16,5,13,172,19,0,103500,117734,44236,167565,9433
8,OPERATIONAL,Adone Mini Market,8.947157699999998,38.7461686,-,0,8,0,17,0,2,3,6,39,23,0,148984,167299,81736,226148,8399
9,OPERATIONAL,Tagel Mini Market,8.881175599999997,38.768280700000005,-,0,3,0,3,1,3,1,2,20,2,0,88714,92826,49000,126823,5447
10,OPERATIONAL,ሐዋርያው ቅዱስ ፊሊጶስ ቤ/ክ ጆን ኤማንዳ ሚኒ ማርኬት,9.041952399999998,38.7049144,5.0,0,3,0,8,0,4,19,2,18,15,0,207641,221254,123704,295646,9545
11,OPERATIONAL,Abadir Supermarket,9.0195047,38.81483069999999,3.8,2,16,0,16,2,4,1,2,57,11,0,145225,163770,75491,225517,7987
12,OPERATIONAL,Ali Mini Market,9.0382203,38.74803969999999,5.0,9,40,3,13,7,18,10,12,182,39,0,99165,112336,42050,160343,9108
13,OPERATIONAL,Belachew Market,9.011468699999998,38.738071600000005,-,8,38,0,15,5,22,3,9,95,18,0,96272,105441,42676,150181,8856
14,OPERATIONAL,Abedu Market,8.980210099999997,38.68585229999999,-,0,6,0,11,2,1,6,6,33,14,0,207641,221254,123704,295646,9545
15,OPERATIONAL,BK7,8.992357799999997,38.6886618,-,0,2,0,11,0,4,4,1,8,12,0,207641,221254,123704,295646,9545
16,OPERATIONAL,Kuter 9 Supermarket,9.004802,38.75230639999999,4.5,3,35,4,20,6,6,3,11,113,22,1,103500,117734,44236,167565,9433
17,OPERATIONAL,Rihana Mini Mark,9.0259748,38.739794700000004,-,5,36,0,8,7,7,18,21,141,19,0,124898,130474,54200,190442,10730
18,OPERATIONAL,All-Mart Supermarket,9.006026400000003,38.807627000000004,3.9,0,21,0,14,2,5,0,7,111,25,0,145225,163770,75491,225517,7987
19,OPERATIONAL,Fozia Mini Market,9.037245500000001,38.7231437,-,0,22,0,5,4,9,10,4,58,26,0,124898,130474,54200,190442,10730
20,OPERATIONAL,Biky Mini Market,8.878777000000001,38.76948289999999,5.0,0,3,0,1,3,3,1,2,18,2,0,88714,92826,49000,126823,5447
21,OPERATIONAL,Alina Minimarket,9.019125099999998,38.856789500000005,-,0,8,0,10,1,2,4,5,33,11,0,145225,163770,75491,225517,7987
22,OPERATIONAL,251Store ET Gelan Mini Market,8.881222199999998,38.76944439999999,-,0,3,0,1,1,3,1,2,21,2,0,88714,92826,49000,126823,5447
23,OPERATIONAL,Amigo Mart,8.995091699999998,38.810868400000004,5.0,1,10,0,10,0,6,1,9,113,18,0,145225,163770,75491,225517,7987
24,OPERATIONAL,Top. Super Market,8.902437199999998,38.7670545,-,0,3,0,3,0,1,3,0,22,6,0,88714,92826,49000,126823,5447
25,OPERATIONAL,Bambis Super Market ባምቢስ ገበያ,9.0098881,38.7720447,4.0,12,69,3,19,6,8,3,15,132,25,0,103500,117734,44236,167565,9433
26,OPERATIONAL,Fkriya Mini Market,9.025497499999998,38.73939769999999,-,5,38,0,9,7,8,19,21,144,19,0,124898,130474,54200,190442,10730
27,OPERATIONAL,ZD Min Market,8.9925281,38.7917639,-,17,54,0,13,2,13,0,6,202,22,0,145225,163770,75491,225517,7987
28,OPERATIONAL,Sadike Mini Market,9.003790399999998,38.8145758,-,1,27,0,12,0,4,1,7,85,26,0,145225,163770,75491,225517,7987
29,OPERATIONAL,Mini Market,8.9799585,38.6860395,-,0,6,0,10,2,1,6,6,33,14,0,207641,221254,123704,295646,9545
30,OPERATIONAL,Adam Mini Market,8.9584912,38.714818599999994,-,0,10,0,4,2,2,3,11,50,18,0,148984,167299,81736,226148,8399
